1	800	100	90	厦门	大连
2	900	150	100	沈阳	大连
3	650	120	60	苏州	大连
4	750	200	30	北京	大连
5	600	180	40	广州	大连
6	600	160	30	太原	大连
7	850	130	0	西安	大连
8	700	190	40	厦门	上海
9	1050	170	0	沈阳	上海
10	950	200	90	苏州	上海
11	900	100	50	北京	上海
12	800	200	70	广州	上海
13	900	180	90	太原	上海
14	600	130	10	西安	上海
15	750	170	70	厦门	石家庄
16	950	100	10	沈阳	石家庄
17	800	130	40	苏州	石家庄
18	750	180	100	北京	石家庄
19	1050	190	50	广州	石家庄
20	700	200	20	太原	石家庄
21	850	160	90	西安	石家庄
22	600	130	70	厦门	深圳
23	750	140	10	沈阳	深圳
24	800	160	10	苏州	深圳
25	700	130	0	北京	深圳
26	750	170	0	广州	深圳
27	750	110	60	太原	深圳
28	700	120	50	西安	深圳
29	650	200	50	厦门	大同
30	950	110	20	沈阳	大同
31	800	100	0	苏州	大同
32	650	200	100	北京	大同
33	800	120	0	广州	大同
34	1000	140	10	太原	大同
35	700	170	60	西安	大同
36	800	170	90	厦门	兰州
37	1000	130	50	沈阳	兰州
38	850	200	20	苏州	兰州
39	1050	150	20	北京	兰州
40	800	170	0	广州	兰州
41	650	200	0	太原	兰州
42	1000	200	90	西安	兰州
43	600	120	0	厦门	漳州
44	850	160	70	沈阳	漳州
45	850	140	0	苏州	漳州
46	600	130	90	北京	漳州
47	650	180	40	广州	漳州
48	650	120	30	太原	漳州
49	950	170	40	西安	漳州
50	850	180	50	厦门	大连
