texi	北京	30	2200	500
texi	上海	30	2100	450
texi	厦门	25	1550	750
texi	沈阳	25	1500	750
texi	苏州	27	1800	0
texi	大同	20	1000	500
texi	常州	20	1200	450
texi	徐州	20	1500	750
texi	无锡	22	1500	750
texi	南京	25	800	00
texi	鞍山	20	2100	600
bus	大连	20	1000	410
bus	重庆	20	1600	850
bus	本溪	15	1500	650
bus	香港	32	1300	530
bus	抚顺	15	1800	650
bus	葫芦岛	17	1200	500
bus	阜新	10	1700	810
bus	铁岭	10	1000	660
bus	盘锦	15	1200	440
bus	朝阳	10	1800	650
texi	丹东	15	1200	500
texi	营口	15	1750	800
texi	辽阳	17	1130	600
texi	哈尔滨	20	1200	470
texi	镇江	22	2100	580
texi	扬州	20	2200	450
texi	盐城	20	1500	750
texi	淮安	20	1500	750
texi	连云港	15	900	00
texi	成都	25	1800	650
texi	深圳	30	1200	500
bus	广州	30	1700	890
bus	宿迁	15	1600	660
bus	泰州	15	1200	400
bus	南平	15	2100	630
bus	龙岩	10	1000	410
bus	三明	15	1600	850
bus	泉州	22	1500	650
bus	福州	25	1300	500
bus	桂林	20	2100	600
bus	昆明	22	1200	410
texi	莆田	22	1650	850
texi	宁德	17	1500	650
texi	漳州	22	1000	500
texi	临汾	17	2100	600
texi	阳泉	15	1000	410
texi	太原	22	1600	850
texi	晋城	20	1500	650
texi	运城	20	1100	500
